"","variety","treatment","23","31","38","39","45","46","52","55","56"
"W1-076","GmJMC055","W1",0.239472622528557,0.258165535097061,0.44114992860912,0.437357298290787,0.473066063756648,0.548210641357597,0.624126121042307,0.670838875517065,0.69157728291128
"W1-077","GmWMC046","W1",0.314756597815506,0.322390493258677,0.379934693688039,0.350810764921083,0.352051911079883,0.389679353213394,0.380077066722404,0.406520739002006,0.476697014464115
"W1-078","GmJMC030","W1",0.251649677765286,0.242002245916948,0.31963020096791,0.295278453418707,0.392700362424784,0.41812917733256,0.486347161122896,0.505071351258753,0.559436846594656
"W1-079","GmWMC070","W1",0.288530642332364,0.289750058056646,0.370689168215061,0.363807699488239,0.461135366227637,0.510046849712919,0.506644535566602,0.555969516384849,0.583533370144494
"W1-080","GmJMC092","W1",0.220931364239787,0.301036089938403,0.493723258623965,0.49071741167602,0.538918312778778,0.577213738138744,0.679994913322641,0.700858353315568,0.708503248517311
"W1-081","GmJMC180","W1",0.244441348451304,0.269219191688852,0.412175313786486,0.40044577006614,0.437060905498083,0.514934128780384,0.62577907530569,0.632010462145358,0.660613332975275
"W1-082","GmJMC104","W1",0.249063505051696,0.274293340579073,0.416465556204474,0.364659372240893,0.472915643299304,0.579854785002034,0.619988684392536,0.657859904680126,0.712163248116111
"W1-083","GmWMC089","W1",0.269194833594295,0.252250950455007,0.382836230756815,0.388718568009139,0.384370846724877,0.497911032901213,0.51904633342951,0.546434637268311,0.585502561526117
"W1-084","5002T","W1",0.19034900694397,0.262565725005202,0.348620239181308,0.3249790364515,0.341231877346247,0.410090974241886,0.44402494003805,0.534970083084803,0.646232888367954
"W1-085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-086","GmWMC156","W1",0.218653060348684,0.253847850876131,0.424298735977765,0.37617324085333,0.432318184782346,0.552049404916444,0.628595061609664,0.668587308132082,0.703253676488559
"W1-087","GmJMC096","W1",0.257957361090332,0.322202890229842,0.428917016413466,0.38468854663815,0.506939583827391,0.571713202500106,0.668239589983682,0.717604349751058,0.74593200228499
"W1-088","GmJMC093","W1",0.249977774850952,0.302304225544301,0.501687416174511,0.442649873616944,0.562993944462239,0.637178842607005,0.722318803865409,0.752984437011335,0.763340567826509
"W1-089","GmWMC169","W1",0.326534377188544,0.417187266756195,0.567899427573855,0.557197223773777,0.567402478640106,0.614282318964852,0.624283276549996,0.639855677915822,0.669917958229551
"W1-090","GmWMC134","W1",0.24359497197366,0.317419523492152,0.476773911535068,0.466918258364727,0.582214009805416,0.601259616650543,0.649133699933355,0.674089670204222,0.69088223567193
"W1-091","GmWMC120","W1",0.23576439596383,0.260625138861177,0.279889456857471,0.248923866102933,0.237247944475035,0.285588306929504,0.346486258505372,0.387162253916378,0.452848170390699
"W1-092","GmJMC080","W1",0.260593465351033,0.392744782195907,0.575694118382868,0.57364298348537,0.676883267537296,0.689698817103603,0.743895066520035,0.757497750808707,0.761775558591479
"W1-093","GmJMC100","W1",0.199512951790737,0.232157304400001,0.468239676870121,0.452522204241029,0.563126106124646,0.648390998690961,0.709915015207598,0.743778822056729,0.760849234656633
"W1-094","GmWMC140","W1",0.250056667276151,0.203444738964511,0.302325717065103,0.314936404713875,0.355798453109057,0.451211055238053,0.562913372181062,0.578788788493605,0.665099632125781
"W1-095","GmJMC145","W1",0.211405537639661,0.31207067130864,0.417966704984089,0.424491220707168,0.48583618071636,0.573020531007232,0.672221347115719,0.712859398303689,0.726702908819591
"W1-096","GmJMC098","W1",0.209813645727685,0.295332926549073,0.42030637929625,0.431464141332015,0.527317938735983,0.600633505336929,0.668688532046605,0.714124617477575,0.734024193840946
"W1-097","GmJMC116","W1",0.187776891855106,0.246313154972276,0.390719469257632,0.344102583090307,0.45309887423193,0.501449368155163,0.635795442539924,0.656339816971396,0.678215506464408
"W1-098","GmJMC041","W1",0.258166501548116,0.245136335249707,0.422783450552428,0.400321658407083,0.50829029817457,0.549711521163264,0.543904130211576,0.560609377048049,0.640981102965602
"W1-099","GmWMC154","W1",0.227073593237157,0.29165702743804,0.560948200267596,0.548342528822728,0.70243659092142,0.719982196056266,0.75918766312442,0.770163519778051,0.779611095502201
"W1-100","GmJMC114","W1",0.283715410594935,0.282228305463745,0.503665787880597,0.49241118718099,0.543664140217906,0.592803206126063,0.684297567251867,0.709205065989575,0.7612409890991
"W1-101","GmWMC191","W1",0.198511668032348,0.222448411366701,0.446235305784023,0.394517856648152,0.507085356200052,0.599901084060321,0.664063315833756,0.686156673661705,0.695683088097494
"W1-102","GmJMC063","W1",0.23485840252911,0.282015785307721,0.425588849076663,0.448590736112712,0.49940572952886,0.544840416148584,0.596319325079115,0.66442139816156,0.704071566007574
"W1-103","C1329","W1",0.174881418399246,0.220426864602493,0.361395016981938,0.415306280607251,0.542958810550571,0.591783783841833,0.664661081313626,0.701174396297398,0.714711033605821
"W1-104","GmWMC027","W1",0.194845181959743,0.220241875552827,0.372992281648241,0.371392613517109,0.497254137966419,0.558847468526776,0.613419561091936,0.678221772229896,0.720578037120918
"W1-105","GmWMC022","W1",0.306350965521463,0.450937169481916,0.55458035243442,0.585905201549049,0.627929966492539,0.676813713163346,0.713856931641989,0.735946392659993,0.730090857169816
"W1-106","GmJMC044","W1",0.228713879263403,0.262543914631979,0.518386554794947,0.500761663912266,0.591885861891724,0.620422078445813,0.6475576522066,0.635346742758288,0.692388848594647
"W1-107","GmWMC107","W1",0.215750448917299,0.371426204424182,0.545611780990446,0.560402309683467,0.544690506766334,0.600220265614392,0.587261021774961,0.601195734410763,0.636343408719164
"W1-108","GmWMC029","W1",0.264672397217711,0.262423098042489,0.401760345333919,0.460463095503343,0.506623556709579,0.590919708420114,0.64534170571391,0.665972446097429,0.687883621225502
"W1-109","GmWMC142","W1",0.201385102202698,0.235105262632676,0.343698353502799,0.356080717588199,0.479540670500156,0.540403170260855,0.667270170070034,0.723379734975655,0.740351832781018
"W1-110","GmJMC031","W1",0.188046803700992,0.213603331795857,0.384370781199225,0.412222863011561,0.494142460739565,0.608704631352406,0.630180294513677,0.675417708568749,0.730865294995487
"W1-111","GmJMC105","W1",0.239331825354258,0.256951271851886,0.420603075098676,0.388744550715018,0.50552975284573,0.50392589686121,0.642557247780443,0.684699871773317,0.730177234238831
"W1-112","GmJMC069","W1",0.18751652263853,0.24006059773803,0.300405968943978,0.335958548987534,0.425468539058067,0.511289701094736,0.603048024049172,0.664001745237377,0.714359793309682
"W1-113","GmWMC150","W1",0.26156320109852,0.346735146903931,0.460375402425323,0.441567307193678,0.525425275632752,0.581033543914417,0.648276814042445,0.70156614797151,0.740252536727403
"W1-114","GmWMC083","W1",0.182794393069987,0.207903078389048,0.372004590295897,0.35267179324765,0.406706395806432,0.443852399259806,0.59121191457672,0.680368492201198,0.685914777433344
"W1-115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-116","GmWMC151","W1",0.134598414854155,0.250432563166656,0.421417366502547,0.44953555490296,0.600698265645371,0.641356849802709,0.727547683899316,0.743452567728852,0.752856062069097
