"","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W1-079",-0.00441775478136626,0.239986413442629,0.277169941218624,0.15531437490686,-0.0805975014310839,0.766902089506092,-0.149172103996807,0.389305890602657,0.325388891644597,0.120563645511113,0.855277392697812,-0.0972344708681751,-157.783478519731
"W1-080",-0.0182026420063867,0.25529114967823,0.299162652279539,0.176081150593111,-0.0763510828880595,0.853734316566185,-0.141870126342652,0.418367501728939,0.333719129038849,0.142032704762178,0.967460867201643,-0.145148838799456,-143.834185727915
"W1-081",-0.0259680708279686,0.259486594996205,0.315576473270098,0.160566533172039,-0.0580163787663582,0.922167228171969,-0.109670095720078,0.426445428113323,0.322481950707064,0.163729935870203,1.07103518281453,-0.166446983380718,-114.615626359088
"W1-082",-0.0282287414355808,0.256963736262977,0.300161864096368,0.141520271687811,-0.0706134450767774,0.857804643112225,-0.131912056062378,0.421581965593222,0.33244172055266,0.151410579855866,1.02969540426894,-0.136481722062524,-145.911757358312
"W1-083",0.00391820717276853,0.264208658402375,0.288222496262628,0.154626462506977,-0.048472429434694,0.809866963723591,-0.092462924503175,0.435596838921308,0.320828090605121,0.140650385353261,0.848629425288362,-0.107355449124249,-81.1584627187218
"W1-084",-0.0269781206687028,0.253146740037174,0.304512177767882,0.148172329946162,-0.0598525349798883,0.875679395192203,-0.11294502396227,0.414256847963456,0.314547759853441,0.147210782197066,0.993979644698697,-0.1735626039572,-117.16090161538
"W1-085",-0.0160264786440585,0.256021130793918,0.283190793099515,0.133468029408945,-0.0625939692511392,0.790142733584702,-0.11781352249769,0.419769141304127,0.32654839282888,0.137401736455465,0.927818004616107,-0.155593724278183,-125.641786775042
"W1-086",0.0187022612239344,0.300855205064511,0.314309670661931,0.175035728146217,-0.0706332253879152,0.916769843946311,-0.131946619968207,0.508850330862246,0.363174927242102,0.139289864926062,1.00851605775396,-0.108472448261942,-143.209534765669
"W1-087",-0.0642504572735734,0.262614617904566,0.343843245003737,0.119803412998362,-0.0891350249992224,1.04807662803797,-0.163680390099185,0.4325008683526,0.348213930202025,0.161759503977472,1.19874075794173,-0.296140786907306,-179.982494914941
"W1-088",-0.103340706741868,0.26423387730895,0.377630172919944,0.159728281295012,-0.0750458374374069,1.21352339554009,-0.139614209597414,0.435645870444094,0.334052259953267,0.193766603226392,1.33319118263724,-0.299632745461695,-153.697365097231
"W1-089",0.0172059281892571,0.325545616282619,0.346722973513559,0.241344928753362,-0.0440863509204261,1.06148839414739,-0.0844496255489654,0.560596777730789,0.359944841102852,0.189145415142912,1.16527787333595,-0.0724351942653383,-90.8150395145155
"W1-090",-0.00723806074967421,0.255154846244277,0.298248493203438,0.168840928082738,-0.0622770603794961,0.850011693070439,-0.117252010237796,0.418105442740225,0.321592226026119,0.148589342189956,1.00561561685805,-0.0651459252818134,-122.295794424938
"W1-091",-0.0837256797596681,0.234043763159633,0.320458400999877,0.298745079930112,-0.0996044700371075,0.94316344428305,-0.181164159699466,0.378190317588114,0.331495736375394,0.20286935755199,1.14676971198631,-0.0507744638914824,-161.262378284734
"W1-092",0.000280677924702042,0.28184784099187,0.314522161989556,0.213220491231827,-0.0220268183112315,0.917672737319813,-0.0431041884940514,0.470350353754794,0.302258750400081,0.158088400738654,0.960131500511567,-0.0980362879169762,-54.4670349764397
"W1-093",-0.0545692223496974,0.2627253266889,0.333355381031839,0.207262102038241,-0.0705743327983041,1.00009921792457,-0.131843872277107,0.432715329467736,0.3322577311422,0.167534814608181,1.13691235796706,-0.201279412021088,-148.204855119563
"W1-094",-0.0146465813842836,0.248432897731635,0.279108960354236,0.170212497249974,-0.0715858141017255,0.774344373849859,-0.133607244813582,0.405266048550334,0.317537454086189,0.127934398047016,0.902141555494529,-0.144512457686411,-139.487515295903
"W1-095",0.0039311032877699,0.270759884269875,0.275300555139758,0.183012077318746,-0.0601137515801152,0.759764774465503,-0.113410002446463,0.448398387318374,0.322024913962246,0.123633860151868,0.845278493532237,-0.103390003367808,-113.736258895442
"W1-096",0.0107831082122246,0.271735379714742,0.272318619784827,0.181193064288753,-0.0826937659383722,0.748469005277889,-0.152754993726503,0.450316292465439,0.355189280636696,0.130314131853485,0.894658584747959,-0.100579976456634,-160.055738969911
"W1-097",-0.0381520528338255,0.247905333059791,0.293387690376933,0.163259661708452,-0.0662729779240815,0.830406623176465,-0.124307711990713,0.404263577273986,0.307461739439991,0.127618885089936,0.966170330038559,-0.18441968314243,-143.603004379619
"W1-098",0.0277998237568717,0.274325112081808,0.29434180147855,0.182793236634954,-0.0550416775416866,0.834233350070271,-0.104340290461202,0.455417291283499,0.328365591972799,0.13338547806869,0.955680880064439,-0.0694879123603595,-123.455648982743
"W1-099",0.0122227742461161,0.267560394119099,0.281413719085856,0.105489587418886,-0.0588272829263535,0.783242671229006,-0.111117807172041,0.442130947246936,0.335932362008102,0.114800359133217,0.88174154158591,-0.179587806270724,-130.643570158001
"W1-100",0.00258689632598969,0.29190522328752,0.314885060783099,0.0982572542418825,-0.0677911164430134,0.919219468889323,-0.126974481967291,0.490581855787507,0.360443907495174,0.137244919280982,1.06497559600422,-0.184752753267879,-150.110564543642
"W1-101",0.098981873272116,0.290843834456049,0.231150333375747,0.0362289948194811,-0.0647350884362208,0.601288765307387,-0.121598487998169,0.488431784794984,0.387956903113555,0.112651404823057,0.706302768404565,-0.0730267578535731,-111.895595797341
"W1-102",0.167029531108199,0.262548211165858,0.1097315175391,-0.0426630118171842,-0.0474555861303241,0.246535286362679,-0.0906109661054551,0.432372767629283,0.305562058295979,0.0508041800806391,0.349765111110399,7.87002909322751e-05,-85.7396037120027
"W1-103",0.188722857578317,0.286036085021513,0.116027084683501,-0.034565725782678,-0.071920630052263,0.262512759549784,-0.134190215275092,0.478737769354126,0.349365841436402,0.0541765302815197,0.36701023066028,0.0360029101123661,-120.349201111981
"W1-104",0.130612109049888,0.301153498410917,0.190109782593422,0.0737582320707923,-0.0326135165627781,0.469470742316097,-0.0631668869788384,0.509462291258075,0.341960710537838,0.0805231218259252,0.542238167574836,0.00227528281639419,-64.9177083937712
"W1-105",0.115668224037671,0.268879709078971,0.173558585129536,0.0156308272512859,-0.0655550486781889,0.420014325996946,-0.123043926437159,0.444712575658888,0.335981666692184,0.0778032125632342,0.532373544644834,-0.0628126535693756,-112.446011730808
"W1-106",0.0989081873787383,0.292281551318695,0.207741674789608,0.0437270152450629,-0.0694233829753033,0.524429462796842,-0.129833285236953,0.49134486710241,0.372376462546463,0.091236574553211,0.650314992456998,-0.0730319291155706,-134.85307888351
"W1-107",0.120905746513525,0.286242099876467,0.190616546592722,0.0584323369300219,-0.0558042071657859,0.471016667289763,-0.105709380288548,0.4791517670442,0.345194707883544,0.0953845727705662,0.578005017332736,-0.0201960408186741,-97.9805352457715
"W1-108",0.0790532759403168,0.301616384124825,0.23669956612834,0.067786067631876,-0.0491371002198041,0.620200292213245,-0.09367123956881,0.510414409163939,0.34586224097925,0.106275615704306,0.736892851071672,-0.0918638592199231,-101.71664533622
"W1-109",0.0301414632240933,0.284521061787169,0.26631396416247,0.0980515672805981,-0.056355438364467,0.725961654315699,-0.106697871412904,0.475697634346835,0.33462165107813,0.128564349344199,0.829749231233404,-0.126942368045181,-112.941190202552
"W1-110",0.00781044094458151,0.268774875184497,0.273439082005096,0.0926152174923942,-0.0790866501835288,0.752694203857389,-0.146580718866554,0.444506536924183,0.341239561810947,0.130594733425863,0.890350525536584,-0.177764323822474,-139.497960507968
"W1-111",0.065810507222658,0.311959407264418,0.287409768789365,0.199337371863954,-0.0470849687645376,0.8066645767179,-0.0899353310416902,0.531870687489913,0.354198186555925,0.133221836953744,0.864365993727016,0.00765615656369488,-89.4333174982692
"W1-112",-0.00413495872513077,0.273046991691938,0.294336661768649,0.159204241298079,-0.0482577598060246,0.834213626199147,-0.0920723144613058,0.452896773124922,0.322484278444819,0.132017893228934,0.937151726529746,-0.153628170184578,-95.5017344002148
"W1-113",0.0792934189117559,0.264237693804709,0.216433944899088,0.149669719537608,-0.034944198115426,0.552433182857095,-0.067528661311513,0.435653292641912,0.303004413389718,0.0925203433048145,0.625740571296335,0.0191338650471247,-69.4865281029583
"W1-114",0.109078839864277,0.361664181223216,0.290939579690929,0.296596949956166,-0.00906579469723354,0.82063409931727,-0.0179686889494727,0.64017084213541,0.368305416810536,0.135838817942865,0.830915228855466,0.148151380438556,-35.0109672385483
"W1-115",0.046464366843637,0.271500272932096,0.239242426675881,0.138432139960586,-0.0582308217706139,0.628958757153664,-0.110053156778194,0.449852975716305,0.32271766332785,0.113705038803593,0.733773289394851,-0.0619433112427712,-108.456652813053
"W1-116",0.0239331830382049,0.272799256744125,0.253412873315687,0.133680498960689,-0.0815301422803629,0.678856800289669,-0.150768117419022,0.452408778902671,0.346159706832455,0.133132549194485,0.818121370891444,-0.0986363841969443,-135.307322211355
"W1-117",0.00806973193839801,0.269268888020028,0.281343063880896,0.103547874231616,-0.0822639515896877,0.782969034989648,-0.152021974803566,0.44547401421811,0.345240256711886,0.137692467663759,0.961386725553771,-0.185813675374728,-161.800310290294
